"Register","Source row(s)","Issue","Resolution","Detail"
"Thrust Block","305","Template residue","ROW REMOVED","Entire row is residual data from the Jemena Port Kembla pipeline template (Operator PKCT, Design Drawing GAS-554-MA-AL-001, DBYD 31981590, chainage 9.92387015996201 km-scale). Not a T2W asset."
"Thrust Block","306","Template residue","ROW REMOVED","Entire row is residual data from the Jemena Port Kembla pipeline template (Operator UNKNOWN, Design Drawing GAS-554-MA-AL-001, DBYD 31981590, chainage 9.96169594877122 km-scale). Not a T2W asset."
"Thrust Block","307","Template residue","ROW REMOVED","Entire row is residual data from the Jemena Port Kembla pipeline template (Operator PKCT, Design Drawing GAS-554-MA-AL-001, DBYD 31981590, chainage 9.99952173758052 km-scale). Not a T2W asset."
"Thrust Block","308","Template residue","ROW REMOVED","Entire row is residual data from the Jemena Port Kembla pipeline template (Operator PKCT, Design Drawing GAS-554-MA-AL-001, DBYD 31981590, chainage 10.0373475263898 km-scale). Not a T2W asset."
"Thrust Block","309","Template residue","ROW REMOVED","Entire row is residual data from the Jemena Port Kembla pipeline template (Operator PKCT, Design Drawing GAS-554-MA-AL-001, DBYD 31981590, chainage 10.075173315199 km-scale). Not a T2W asset."
"Thrust Block","310","Template residue","ROW REMOVED","Entire row is residual data from the Jemena Port Kembla pipeline template (Operator PKCT, Design Drawing GAS-554-MA-AL-002, DBYD 31981590, chainage 10.1129991040083 km-scale). Not a T2W asset."
"Thrust Block","311","Template residue","ROW REMOVED","Entire row is residual data from the Jemena Port Kembla pipeline template (Operator PKCT, Design Drawing GAS-554-MA-AL-002, DBYD 31981590, chainage 10.1508248928175 km-scale). Not a T2W asset."
"Thrust Block","312","Template residue","ROW REMOVED","Entire row is residual data from the Jemena Port Kembla pipeline template (Operator PKCT, Design Drawing GAS-554-MA-AL-002, DBYD 31981590, chainage 10.1886506816268 km-scale). Not a T2W asset."
"Trench Stop & Bulkhead","309","Template residue","SURVEY CELLS CLEARED","Asset PHW-TS-0270 is genuine, but columns E-L of this row carried Port Kembla residue (Surveyors PtNo Surveyors PtNo, Actual Chainage Actual Chainage). Those cells cleared; asset data retained."
"Trench Stop & Bulkhead","310","Template residue","SURVEY CELLS CLEARED","Asset PHW-TS-0271 is genuine, but columns E-L of this row carried Port Kembla residue (Surveyors PtNo 2050364410.23209, Actual Chainage 9923.87015996201). Those cells cleared; asset data retained."
"Trench Stop & Bulkhead","311","Template residue","SURVEY CELLS CLEARED","Asset PHW-TS-0272 is genuine, but columns E-L of this row carried Port Kembla residue (Surveyors PtNo 2058981476.64782, Actual Chainage 9961.6959487713). Those cells cleared; asset data retained."
"Trench Stop & Bulkhead","312","Template residue","SURVEY CELLS CLEARED","Asset PHW-TS-0273 is genuine, but columns E-L of this row carried Port Kembla residue (Surveyors PtNo 2067598543.06356, Actual Chainage 9999.5217375805). Those cells cleared; asset data retained."
"Trench Stop & Bulkhead","313","Template residue","SURVEY CELLS CLEARED","Asset PHW-BS-0035 is genuine, but columns E-L of this row carried Port Kembla residue (Surveyors PtNo 2076215609.4793, Actual Chainage 10037.3475263898). Those cells cleared; asset data retained."
"Trench Stop & Bulkhead","314","Template residue","SURVEY CELLS CLEARED","Asset PHW-TS-0274 is genuine, but columns E-L of this row carried Port Kembla residue (Surveyors PtNo 2084832675.89504, Actual Chainage 10075.173315199). Those cells cleared; asset data retained."
"Trench Stop & Bulkhead","315","Template residue","SURVEY CELLS CLEARED","Asset PHW-TS-0275 is genuine, but columns E-L of this row carried Port Kembla residue (Surveyors PtNo 2093449742.31077, Actual Chainage 10112.9991040083). Those cells cleared; asset data retained."
"Trench Stop & Bulkhead","316","Template residue","SURVEY CELLS CLEARED","Asset PHW-TS-0276 is genuine, but columns E-L of this row carried Port Kembla residue (Surveyors PtNo 2102066808.72651, Actual Chainage 10150.8248928175). Those cells cleared; asset data retained."
"Trench Stop & Bulkhead","318","Template residue","SURVEY CELLS CLEARED","Asset PHW-TS-0278 is genuine, but columns E-L of this row carried Port Kembla residue (Surveyors PtNo 2110683875.14225, Actual Chainage 10188.6506816268). Those cells cleared; asset data retained."
"Trench Stop & Bulkhead","316","Malformed drawing-sheet ref","FLAGGED - not changed","Value ""9,9"" does not match the n.n pattern used elsewhere in this column."
"Trench Stop & Bulkhead","317","Malformed drawing-sheet ref","FLAGGED - not changed","Value ""9.9.1"" does not match the n.n pattern used elsewhere in this column."
"Thrust Block","114-126","No chainage assigned","RETAINED - sorted to end","13 record(s) have no value in the chainage column: RHF-TB-001, RHF-TB-002, RHF-TB-003, RHF-TB-004, RHF-TB-005, RHF-TB-006, RHF-TB-007, RHF-TB-008, RHF-TB-009, RHF-TB-010, RHF-TB-011, RHF-TB-012, RHF-TB-013. They are genuine assets and are kept in the Master Register with a blank Chainage Start, sorted after all located records. Chainage needs to be assigned before this register can be relied on for setout."
"Creek Crossing","3-19","No chainage assigned","RETAINED - sorted to end","32 record(s) have no value in the chainage column: PHW-CC-0001, PWG-CC-0001, PHW-CC-0002, PWG-CC-0002, PHW-CC-0003, PWG-CC-0003, PHW-CC-0004, PWG-CC-0004, PHW-CC-0005, PWG-CC-0005, PHW-CC-0006, PWG-CC-0006, PHW-CC-0007, PWG-CC-0007, PHW-CC-0008, PWG-CC-0008, PHW-CC-0009, PWG-CC-0009, PHW-CC-0010, PWG-CC-0010, PHW-CC-0011, PWG-CC-0011, PHW-CC-0012, PWG-CC-0012, PHW-CC-0013, PWG-CC-0013, PHW-CC-0014, PWG-CC-0014, PHW-CC-0015, PWG-CC-0015, PWG-CC-0016, PWG-CC-0017. They are genuine assets and are kept in the Master Register with a blank Chainage Start, sorted after all located records. Chainage needs to be assigned before this register can be relied on for setout."
