"Revision","Date","Description of change","Records affected","Issued by"
"Rev 1","24 Aug 2026","Register placed under document control. Baseline consolidation of six source registers (1,188 records). No data values changed.","1188 (baseline)","J. Krasnoff-Hnatjuk"
"Rev 2","24 Aug 2026","Trench & Bulkheads source reissued 2026-08-17: 37 new PWG trench stops and bulkheads loaded. Tree Removal TakeOff (V.1) added as a new Vegetation register: 91 PHW and PWG records, chainage converted from km to m. Two columns added (Area (m2), Timber Density). No existing value changed.","128 added (1,188 to 1,316)","J. Krasnoff-Hnatjuk"
"Rev 3","24 Aug 2026","Thrust Block Register reissued 24-8: 134 new thrust blocks loaded (109 PWG, 25 PHW). New source column Thrust Block Category added and populated for all 255 thrust blocks, including 121 backfilled onto records already held. The 13 RHF records are confirmed as facility blocks with no pipeline chainage. No previously held value was overwritten.","134 added (1,316 to 1450); 121 enriched","J. Krasnoff-Hnatjuk"
"Rev 4","24 Aug 2026","Unit rates introduced. Four columns added: Unit Rate ($), Quantity, Unit and Total Cost ($). 442 trench stops rated at $1,112.50 each and 47 bulkheads at $20,507.00 each, $1,455,554.00 in total. All other assets left blank pending rates. No existing value changed.","489 rated, 961 left blank","J. Krasnoff-Hnatjuk"
"Rev 5","26 Aug 2026","Cost tracking introduced. Rate Library, Cost Tracker - Linear (207 trench sections, trench and pipe progress in metres) and Cost Dashboard added. Trench rates split by pipeline section (22 lines) and pipe set up as four individual assets (PHW DICL DN600, PHW MSCL OD660, PWG DICL DN375, PWG MSCL OD457). Master Register and all Src - sheets protected so the register serves as a locked lookup source. No Master Register value changed; no column added to it. No trench or pipe rate supplied yet — all blank.","207 trench sections tracked; 4 pipe assets defined; 0 rated","J. Krasnoff-Hnatjuk"
"Rev 5.2","27 Aug 2026","Thrust blocks priced per type. Rate Library Table 4 added (section x type, rate per block); new Thrust Block Costing sheet splitting PHW and PWG; all 255 thrust block records given Quantity, Unit, a Unit Rate lookup and the Total Cost formula. 260 blocks across 255 records. No rate supplied yet.","255 records / 260 blocks; 0 rated","J. Krasnoff-Hnatjuk"
"Rev 5.3","27 Aug 2026","Thrust blocks populated from index drawings S-DWG-PTW-115 to 118: fitting type, bend angle, material, DN, test pressure and bearing capacity added (8 new columns at the end). 72 thrust block types corrected against the drawings and logged. Rate Library Table 4 split by type and fitting; Thrust Block Costing rebuilt.","242 populated, 72 corrected, 55 rate lines","J. Krasnoff-Hnatjuk"
"Rev 5.4","27 Aug 2026","Daily Progress sheet added (append only) and an End of day page added to the front end that writes to it, alongside the existing writes to Cost Tracker - Linear and the Master Register Complete column. No existing value changed.","1 sheet added","J. Krasnoff-Hnatjuk"
"Rev 5.4","27 Aug 2026","Daily Progress sheet added (append only) and an End of day page added to the front end that writes to it, alongside the existing writes to Cost Tracker - Linear and the Master Register Complete column. No existing value changed.","1 sheet added","J. Krasnoff-Hnatjuk"
"Rev 5.5","27 Aug 2026","Daily Plant and Labour, Daily Safety and Daily Hold Points sheets added (append only) and the End of day page extended to capture them, with a printable daily report. No existing value changed.","3 sheets added","J. Krasnoff-Hnatjuk"
"Rev 5.6","27 Aug 2026","Settings sheet added so the front end reads its own configuration from the workbook: Recorded By, day defaults, file and backup folder names, pipe types and a standing plant and labour list. No existing value changed.","1 sheet added","J. Krasnoff-Hnatjuk"
"Rev 5.7","27 Aug 2026","Cost rates added beside charge rates on every Rate Library table, with margin calculated. Plant and Labour Rates sheet added. Daily Progress gained Our Cost and Gross Margin. Daily Profit sheet added for the day-level bottom line. No existing rate changed.","2 sheets added, 148 cost lines","J. Krasnoff-Hnatjuk"
"Rev 5.8","2026-09-03","Added PHW 22.5° horizontal bend at chainage 6101.187 m with assigned Record Key and Asset ID PHW-BND-095.","1 record added","Jerry KH"
"Rev 5.9","2026-09-03","Added PHW 45° horizontal bend at chainage 11370.095 m with assigned Record Key and Asset ID PHW-BND-096.","1 record added","Jerry KH"
"Rev 5.10","2026-09-03","Reconciled PHW 11.25° bends against IFC setout schedules D-DWG-PHW-029.2 to 034.2: added 11 missing horizontal bends and corrected PHW-BND-003 chainage from 1092.986 m to 1086.423 m.","11 records added; 1 corrected","Jerry KH"
